label,audio
soham,6_soham.wav
soham,7_soham.wav
soham,9_soham.wav
soham,10_soham.wav
soham,11_soham.wav
soham,12_soham.wav
soham,13_soham.wav
soham,14_soham.wav
soham,15_soham.wav
soham,16_soham.wav
soham,17_soham.wav
soham,18_soham.wav
soham,19_soham.wav
lily,0_lily.wav
lily,1_lily.wav
lily,2_lily.wav
lily,3_lily.wav
lily,4_lily.wav
lily,5_lily.wav
lily,6_lily.wav
lily,7_lily.wav
lily,9_lily.wav
lily,10_lily.wav
lily,11_lily.wav
lily,12_lily.wav
lily,13_lily.wav
lily,14_lily.wav
lily,15_lily.wav
lily,16_lily.wav
lily,17_lily.wav
lily,18_lily.wav
lily,19_lily.wav
yukti,0_yukti.wav
yukti,1_yukti.wav
yukti,2_yukti.wav
yukti,3_yukti.wav
yukti,4_yukti.wav
yukti,5_yukti.wav
yukti,6_yukti.wav
yukti,7_yukti.wav
yukti,9_yukti.wav
yukti,10_yukti.wav
yukti,11_yukti.wav
yukti,12_yukti.wav
yukti,13_yukti.wav
yukti,14_yukti.wav
yukti,15_yukti.wav
yukti,16_yukti.wav
